message;severity;node;stamp;location
"x: 2.078410; y: 1.048409; omega: 1.498424";"20";"tug_turtlebot4.simple_turtle";"1734542447.114286990";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078311; y: 1.047037; omega: 1.498465";"20";"tug_turtlebot4.simple_turtle";"1734542447.111772610";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078211; y: 1.045665; omega: 1.498506";"20";"tug_turtlebot4.simple_turtle";"1734542447.108425274";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078112; y: 1.044293; omega: 1.498548";"20";"tug_turtlebot4.simple_turtle";"1734542447.103961458";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.078013; y: 1.042921; omega: 1.498589";"20";"tug_turtlebot4.simple_turtle";"1734542447.099161858";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077913; y: 1.041549; omega: 1.498631";"20";"tug_turtlebot4.simple_turtle";"1734542447.095502306";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077715; y: 1.038805; omega: 1.498713";"20";"tug_turtlebot4.simple_turtle";"1734542447.086482366";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077616; y: 1.037433; omega: 1.498755";"20";"tug_turtlebot4.simple_turtle";"1734542447.082924210";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077517; y: 1.036061; omega: 1.498796";"20";"tug_turtlebot4.simple_turtle";"1734542447.079708523";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077418; y: 1.034689; omega: 1.498838";"20";"tug_turtlebot4.simple_turtle";"1734542447.076832268";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077320; y: 1.033318; omega: 1.498879";"20";"tug_turtlebot4.simple_turtle";"1734542447.074520454";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077221; y: 1.031946; omega: 1.498921";"20";"tug_turtlebot4.simple_turtle";"1734542447.069535385";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077122; y: 1.030574; omega: 1.498962";"20";"tug_turtlebot4.simple_turtle";"1734542447.065357794";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.077023; y: 1.029202; omega: 1.499003";"20";"tug_turtlebot4.simple_turtle";"1734542447.060310998";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076826; y: 1.026458; omega: 1.499086";"20";"tug_turtlebot4.simple_turtle";"1734542447.051076530";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076728; y: 1.025086; omega: 1.499128";"20";"tug_turtlebot4.simple_turtle";"1734542447.047875353";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076531; y: 1.022342; omega: 1.499210";"20";"tug_turtlebot4.simple_turtle";"1734542447.039968788";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076433; y: 1.020970; omega: 1.499252";"20";"tug_turtlebot4.simple_turtle";"1734542447.034320354";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076334; y: 1.019598; omega: 1.499293";"20";"tug_turtlebot4.simple_turtle";"1734542447.030003424";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076236; y: 1.018226; omega: 1.499335";"20";"tug_turtlebot4.simple_turtle";"1734542447.026752085";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076138; y: 1.016854; omega: 1.499376";"20";"tug_turtlebot4.simple_turtle";"1734542447.021157435";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.076040; y: 1.015482; omega: 1.499418";"20";"tug_turtlebot4.simple_turtle";"1734542447.017832001";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075942; y: 1.014110; omega: 1.499459";"20";"tug_turtlebot4.simple_turtle";"1734542447.014923269";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075844; y: 1.012738; omega: 1.499500";"20";"tug_turtlebot4.simple_turtle";"1734542447.011896920";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075648; y: 1.009994; omega: 1.499583";"20";"tug_turtlebot4.simple_turtle";"1734542447.005145168";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075550; y: 1.008622; omega: 1.499625";"20";"tug_turtlebot4.simple_turtle";"1734542447.002619983";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075453; y: 1.007250; omega: 1.499666";"20";"tug_turtlebot4.simple_turtle";"1734542446.998330042";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
"x: 2.075355; y: 1.005878; omega: 1.499707";"20";"tug_turtlebot4.simple_turtle";"1734542446.993640082";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:145"
