message;severity;node;stamp;location
"ENCODER: x: 1.033219; y: 3.001331; omega: 4.875027";"20";"tug_turtlebot4.simple_turtle";"1734544746.825047908";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.008658; y: 2.937252; omega: -1.398976";"20";"tug_turtlebot4.simple_turtle";"1734544746.824891981";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.035451; y: 2.987692; omega: 4.874611";"20";"tug_turtlebot4.simple_turtle";"1734544746.789033806";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.011007; y: 2.923699; omega: -1.399390";"20";"tug_turtlebot4.simple_turtle";"1734544746.788893820";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.037678; y: 2.974051; omega: 4.874195";"20";"tug_turtlebot4.simple_turtle";"1734544746.752753557";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.013350; y: 2.910145; omega: -1.399804";"20";"tug_turtlebot4.simple_turtle";"1734544746.752601612";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.039898; y: 2.960410; omega: 4.873779";"20";"tug_turtlebot4.simple_turtle";"1734544746.720577779";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.015687; y: 2.896590; omega: -1.400218";"20";"tug_turtlebot4.simple_turtle";"1734544746.720306559";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.042113; y: 2.946767; omega: 4.873362";"20";"tug_turtlebot4.simple_turtle";"1734544746.688097943";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.018019; y: 2.883035; omega: -1.400632";"20";"tug_turtlebot4.simple_turtle";"1734544746.687360296";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.044329; y: 2.933080; omega: 4.872569";"20";"tug_turtlebot4.simple_turtle";"1734544746.652716306";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.020345; y: 2.869478; omega: -1.401047";"20";"tug_turtlebot4.simple_turtle";"1734544746.652514474";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.046532; y: 2.919436; omega: 4.872153";"20";"tug_turtlebot4.simple_turtle";"1734544746.616526027";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.022666; y: 2.855920; omega: -1.401461";"20";"tug_turtlebot4.simple_turtle";"1734544746.616315229";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.048730; y: 2.905791; omega: 4.871737";"20";"tug_turtlebot4.simple_turtle";"1734544746.580661807";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.024981; y: 2.842362; omega: -1.401875";"20";"tug_turtlebot4.simple_turtle";"1734544746.580542275";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.050923; y: 2.892145; omega: 4.871321";"20";"tug_turtlebot4.simple_turtle";"1734544746.543665067";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.027290; y: 2.828802; omega: -1.402289";"20";"tug_turtlebot4.simple_turtle";"1734544746.543433355";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.053109; y: 2.878498; omega: 4.870905";"20";"tug_turtlebot4.simple_turtle";"1734544746.509025682";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.029594; y: 2.815241; omega: -1.402703";"20";"tug_turtlebot4.simple_turtle";"1734544746.508780200";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
