x_dis,y_diy,yaw,time
1.16524,-0.0169546,0.0672199,13.062
1.17884,-0.0159464,0.0817533,13.095
1.19242,-0.0147408,0.0962866,13.122
1.20599,-0.0133378,0.11082,13.152
1.21953,-0.0117379,0.125353,13.182
1.23305,-0.00994137,0.139887,13.212
1.24654,-0.00794856,0.15442,13.245
1.26,-0.00575992,0.168953,13.272
1.27342,-0.0033759,0.183487,13.302
1.28682,-0.000797003,0.19802,13.335
1.30017,0.00197622,0.212553,13.362
1.31348,0.00494318,0.227087,13.392
1.32674,0.00810326,0.24162,13.422
1.33996,0.0114558,0.256154,13.452
1.35313,0.0150001,0.270687,13.482
1.36624,0.0187353,0.28522,13.512
1.3793,0.0226608,0.299754,13.542
1.3923,0.0267756,0.314287,13.572
1.40524,0.0310789,0.32882,13.602
1.41812,0.0355699,0.343354,13.632
1.43093,0.0402475,0.357887,13.662
1.44367,0.0451107,0.37242,13.692
1.45633,0.0501586,0.386954,13.722
1.46893,0.05539,0.401487,13.752
1.48144,0.0608039,0.416021,13.782
1.49388,0.0663991,0.430554,13.815
1.50623,0.0721745,0.445087,13.845
1.5185,0.0781287,0.459621,13.872
1.53068,0.0842606,0.474154,13.902
1.54277,0.0905689,0.488687,13.932
1.55477,0.0970522,0.503221,13.962
1.56667,0.103709,0.517754,13.992
1.57847,0.110538,0.532287,14.022
1.59017,0.117538,0.546821,14.052
1.60177,0.124708,0.561354,14.082
1.61327,0.132045,0.575887,14.112
1.62465,0.139549,0.590421,14.145
1.63593,0.147217,0.604954,14.172
1.64709,0.155048,0.619488,14.202
1.65814,0.163041,0.634021,14.232
1.66907,0.171193,0.648554,14.262
1.67988,0.179503,0.663088,14.292
1.69057,0.18797,0.677621,14.322
1.70114,0.196591,0.692154,14.352
1.71158,0.205365,0.706688,14.382
1.72189,0.214289,0.721221,14.415
1.73207,0.223362,0.735754,14.442
1.74212,0.232583,0.750288,14.472
1.75203,0.241948,0.764821,14.505
1.7618,0.251457,0.779355,14.532
1.77144,0.261106,0.793888,14.562
1.78093,0.270895,0.808421,14.592
1.79028,0.28082,0.822955,14.622
1.79949,0.29088,0.837488,14.655
1.80855,0.301073,0.852021,14.682
1.81746,0.311397,0.866555,14.712
1.82621,0.321849,0.881088,14.745
1.83482,0.332427,0.895621,14.772
1.84327,0.343129,0.910155,14.802
1.85157,0.353953,0.924688,14.832
1.8597,0.364896,0.939221,14.862
1.86768,0.375956,0.953755,14.892
1.87549,0.387131,0.968288,14.922
1.88314,0.398419,0.982822,14.955
1.89063,0.409816,0.997355,14.982
1.89795,0.421321,1.01189,15.012
1.9051,0.432931,1.02642,15.042
1.91209,0.444644,1.04096,15.072
1.9189,0.456457,1.05549,15.102
1.92554,0.468368,1.07002,15.132
1.932,0.480374,1.08456,15.162
1.93829,0.492473,1.09909,15.192
1.94441,0.504662,1.11362,15.225
1.95034,0.516939,1.12816,15.252
1.9561,0.5293,1.14269,15.282
1.96168,0.541744,1.15722,15.312
1.96707,0.554268,1.17176,15.342
1.97229,0.566869,1.18629,15.375
1.97732,0.579544,1.20082,15.405
1.98216,0.592291,1.21536,15.432
1.98682,0.605106,1.22989,15.462
1.99129,0.617989,1.24442,15.492
1.99558,0.630935,1.25896,15.522
1.99967,0.643942,1.27349,15.555
2.00358,0.657006,1.28802,15.585
2.00729,0.670127,1.30256,15.612
2.01082,0.6833,1.31709,15.642
2.01415,0.696523,1.33162,15.672
2.01729,0.709793,1.34616,15.702
2.02024,0.723107,1.36069,15.732
2.02299,0.736462,1.37522,15.762
2.02555,0.749856,1.38976,15.792
2.02792,0.763286,1.40429,15.822
2.03009,0.776749,1.41882,15.852
2.03206,0.790242,1.43336,15.882
2.03384,0.803762,1.44789,15.912
2.03542,0.817307,1.46242,15.942
2.0368,0.830873,1.47696,15.972
2.03799,0.844458,1.49149,16.002
2.03897,0.858058,1.50602,16.032
2.03976,0.871672,1.52056,16.062
2.04036,0.885295,1.53509,16.092
2.04075,0.898926,1.54962,16.122
2.04095,0.912561,1.56416,16.152
2.04095,0.926198,1.57869,16.182
2.04075,0.939833,1.59322,16.212
2.04035,0.953463,1.60776,16.242
2.03975,0.967087,1.62229,16.272
2.03896,0.9807,1.63682,16.302
2.03796,0.9943,1.65136,16.332
2.03678,1.00788,1.66589,16.362
2.03539,1.02145,1.68042,16.392
2.0338,1.03499,1.69496,16.422
2.03202,1.04851,1.70949,16.452
2.03005,1.06201,1.72402,16.482
2.02788,1.07547,1.73856,16.512
2.02551,1.0889,1.75309,16.542
2.02294,1.10229,1.76762,16.572
2.02019,1.11565,1.78216,16.602
2.01724,1.12896,1.79669,16.632
2.01409,1.14223,1.81122,16.662
2.01075,1.15545,1.82576,16.692
2.00723,1.16862,1.84029,16.722
2.00351,1.18174,1.85482,16.752
1.9996,1.19481,1.86936,16.782
1.9955,1.20781,1.88389,16.812
1.99121,1.22076,1.89842,16.842
1.98673,1.23364,1.91296,16.872
1.98207,1.24645,1.92749,16.905
1.97722,1.2592,1.94202,16.932
1.97219,1.27187,1.95656,16.962
1.96697,1.28447,1.97109,16.992
1.96158,1.29699,1.98562,17.022
1.956,1.30944,2.00016,17.052
1.95023,1.3218,2.01469,17.082
1.9443,1.33407,2.02922,17.112
1.93818,1.34626,2.04376,17.142
1.93188,1.35835,2.05829,17.172
1.92541,1.37036,2.07282,17.202
1.91877,1.38227,2.08736,17.232
1.91196,1.39408,2.10189,17.262
1.90497,1.40579,2.11642,17.292
1.89782,1.4174,2.13096,17.322
1.89049,1.4289,2.14549,17.352
1.883,1.4403,2.16002,17.382
1.87535,1.45158,2.17456,17.412
1.86753,1.46276,2.18909,17.442
1.85955,1.47381,2.20362,17.472
1.85141,1.48475,2.21816,17.502
1.84311,1.49558,2.23269,17.532
1.83507,1.50592,2.24797,17.562
1.83118,1.51214,2.26611,17.592
1.8328,1.51288,2.28481,17.622
1.83947,1.50811,2.30122,17.652
1.84818,1.49855,2.29462,17.682
1.85715,1.48827,2.28009,17.712
1.86596,1.47787,2.26556,17.745
1.87463,1.46734,2.25102,17.772
1.88314,1.45668,2.23649,17.802
1.89149,1.4459,2.22196,17.832
1.89969,1.43501,2.20742,17.862
1.90773,1.42399,2.19289,17.895
1.9156,1.41286,2.17836,17.922
1.92332,1.40161,2.16382,17.955
1.93087,1.39026,2.14929,17.982
1.93825,1.37879,2.13476,18.012
1.94547,1.36722,2.12022,18.042
1.95251,1.35555,2.10569,18.075
1.95939,1.34377,2.09116,18.102
1.9661,1.3319,2.07662,18.132
1.97263,1.31993,2.06209,18.162
1.97899,1.30787,2.04756,18.192
1.98517,1.29571,2.03302,18.222
1.99117,1.28347,2.01849,18.252
1.997,1.27114,2.00396,18.288
2.00264,1.25873,1.98942,18.312
2.00811,1.24623,1.97489,18.342
2.01339,1.23366,1.96036,18.372
2.01849,1.22101,1.94582,18.402
2.02341,1.20829,1.93129,18.432
2.02813,1.1955,1.91676,18.462
2.03268,1.18265,1.90222,18.495
2.03703,1.16972,1.88769,18.522
2.0412,1.15674,1.87316,18.552
2.04518,1.1437,1.85862,18.582
2.04897,1.1306,1.84409,18.615
2.05257,1.11744,1.82956,18.642
2.05597,1.10424,1.81502,18.672
2.05919,1.09099,1.80049,18.702
2.06221,1.07769,1.78596,18.732
2.06504,1.06435,1.77142,18.759
2.06767,1.05097,1.75689,18.792
2.07011,1.03755,1.74236,18.822
2.07235,1.0241,1.72782,18.852
2.0744,1.01062,1.71329,18.882
2.07625,0.997112,1.69876,18.912
2.07791,0.983576,1.68422,18.942
2.07936,0.970018,1.66969,18.972
2.08063,0.95644,1.65516,19.002
2.08169,0.942845,1.64062,19.032
2.08255,0.929236,1.62609,19.062
2.08322,0.915616,1.61156,19.095
2.08369,0.901988,1.59702,19.122
2.08396,0.888354,1.58249,19.152
2.08404,0.874718,1.56796,19.182
2.08391,0.861082,1.55342,19.212
2.08359,0.847449,1.53889,19.242
2.08307,0.833823,1.52436,19.272
