message;severity;node;stamp;location
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.462186769";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.456371921";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.452595737";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.450816549";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.446273844";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.444516082";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.439393726";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.436744411";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.432494426";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.430820625";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.427572150";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.423459265";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.415701388";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.413006155";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.411053330";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.407723241";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.404355741";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.400936322";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.396838377";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.392041419";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.388595605";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.385544322";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.382786384";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.376774785";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.371537024";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.368883234";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.365551352";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.361496785";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
"x: 0.966578; y: 3.129419; omega: -1.389586";"20";"tug_turtlebot4.simple_turtle";"1734542031.357937372";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:135"
